xstart,xend,ystart,yend
0,1,1,1
[],[],1620.1442095907646,8929.787964334926
1620.1442095907646,8929.787964334926,1619.7933975484375,1038.6929496854987
1619.7933975484375,1038.6929496854987,1607.71548179079,1745.7384884742023
1607.71548179079,1745.7384884742023,1017.2215326503548,1745.801192552796
1017.2215326503548,1745.801192552796,2566.8950392245606,2004.0721767151317
2566.8950392245606,2004.0721767151317,2576.9060761264427,1765.7520663214073
2576.9060761264427,1765.7520663214073,7799.787916348436,1672.884308541813
7799.787916348436,1672.884308541813,7799.813982596985,1050.297137876199
7799.813982596985,1050.297137876199,1000.0,1000.0
1000.0,1000.0,7799.349168536003,6226.531056477973
7799.349168536003,6226.531056477973,7571.97186172422,9962.710630646572
1,1,1,1
7571.97186172422,9962.710630646572,2691.9593295178493,8477.978512088512
2691.9593295178493,8477.978512088512,2691.5156813098383,1070.8780634816806
2691.5156813098383,1070.8780634816806,2666.3246135517493,2783.772205824391
2666.3246135517493,2783.772205824391,1720.4140155062837,2833.5494665435435
1720.4140155062837,2833.5494665435435,2287.6864980044656,4793.402098757393
2287.6864980044656,4793.402098757393,1099.3415188283786,4793.69954828224
1099.3415188283786,4793.69954828224,1495.5937074958981,3040.6829437936876
1495.5937074958981,3040.6829437936876,1529.2310258585571,2803.971873746567
1529.2310258585571,2803.971873746567,6727.905885756282,2672.179166213519
6727.905885756282,2672.179166213519,6727.685301677589,1060.0423596013648
6727.685301677589,1060.0423596013648,13522.312824097404,8924.294450324629
13522.312824097404,8924.294450324629,6727.782304112051,5219.183081675983
6727.782304112051,5219.183081675983,6631.040148166081,8923.965411947589
2,1,1,1
6631.040148166081,8923.965411947589,3693.3790511316824,7850.549633929018
3693.3790511316824,7850.549633929018,3692.864534401893,1078.2086910801982
3692.864534401893,1078.2086910801982,3607.2387719715193,3785.054934095276
3607.2387719715193,3785.054934095276,2721.899249844862,3870.0996452011386
2721.899249844862,3870.0996452011386,3577.6896418006922,5795.065391686898
3577.6896418006922,5795.065391686898,1070.4660893309508,3805.115065421453
1070.4660893309508,3805.115065421453,5725.91245943495,3710.434545558609
5725.91245943495,3710.434545558609,5725.937561893863,1100.2155730447569
5725.937561893863,1100.2155730447569,12559.754634493982,7922.481404113333
12559.754634493982,7922.481404113333,5726.022148868539,4141.7096696550425
5726.022148868539,4141.7096696550425,5570.479248693974,7922.264400993201
3,1,1,1
5570.479248693974,7922.264400993201,4763.287418841747,6729.6328680978695
